Initializing database schema...
Database initialized.
Latest block on Sepolia : 11034114
Start block             : 11032114
Total blocks to crawl   : 2000
Resuming from block 11032114...

Batch 11032114 → 11032213
  [  0.0%] block 11032114 done
  [  0.1%] block 11032115 done
  [  0.1%] block 11032116 done
  [  0.1%] block 11032117 done
  [  0.2%] block 11032118 done
  [  0.2%] block 11032119 done
  [  0.3%] block 11032120 done
  [  0.4%] block 11032121 done
  [  0.4%] block 11032122 done
  [  0.4%] block 11032123 done
  [  0.5%] block 11032124 done
  [  0.5%] block 11032125 done
  [  0.6%] block 11032126 done
  [  0.7%] block 11032127 done
  [  0.7%] block 11032128 done
  [  0.8%] block 11032129 done
  [  0.8%] block 11032130 done
  [  0.9%] block 11032131 done
  [  0.9%] block 11032132 done
  [  0.9%] block 11032133 done
  [  1.0%] block 11032134 done
  [  1.1%] block 11032135 done
  [  1.1%] block 11032136 done
  [  1.1%] block 11032137 done
  [  1.2%] block 11032138 done
  [  1.2%] block 11032139 done
  [  1.3%] block 11032140 done
  [  1.4%] block 11032141 done
  [  1.4%] block 11032142 done
  [  1.5%] block 11032143 done
  [  1.5%] block 11032144 done
  [  1.6%] block 11032145 done
  [  1.6%] block 11032146 done
  [  1.7%] block 11032147 done
  [  1.7%] block 11032148 done
  [  1.8%] block 11032149 done
  [  1.8%] block 11032150 done
  [  1.8%] block 11032151 done
  [  1.9%] block 11032152 done
  [  1.9%] block 11032153 done
  [  2.0%] block 11032154 done
  [  2.1%] block 11032155 done
  [  2.1%] block 11032156 done
  [  2.1%] block 11032157 done
  [  2.2%] block 11032158 done
  [  2.2%] block 11032159 done
  [  2.3%] block 11032160 done
  [  2.4%] block 11032161 done
  [  2.4%] block 11032162 done
  [  2.5%] block 11032163 done
  [  2.5%] block 11032164 done
  [  2.5%] block 11032165 done
  [  2.6%] block 11032166 done
  [  2.6%] block 11032167 done
  [  2.7%] block 11032168 done
  [  2.8%] block 11032169 done
  [  2.8%] block 11032170 done
  [  2.9%] block 11032171 done
  [  2.9%] block 11032172 done
  [  2.9%] block 11032173 done
  [  3.0%] block 11032174 done
  [  3.0%] block 11032175 done
  [  3.1%] block 11032176 done
  [  3.1%] block 11032177 done
  [  3.2%] block 11032178 done
  [  3.2%] block 11032179 done
  [  3.3%] block 11032180 done
  [  3.4%] block 11032181 done
  [  3.4%] block 11032182 done
  [  3.5%] block 11032183 done
  [  3.5%] block 11032184 done
  [  3.5%] block 11032185 done
  [  3.6%] block 11032186 done
  [  3.6%] block 11032187 done
  [  3.7%] block 11032188 done
  [  3.8%] block 11032189 done
  [  3.8%] block 11032190 done
  [  3.9%] block 11032191 done
  [  3.9%] block 11032192 done
  [  4.0%] block 11032193 done
  [  4.0%] block 11032194 done
  [  4.0%] block 11032195 done
  [  4.1%] block 11032196 done
  [  4.2%] block 11032197 done
  [  4.2%] block 11032198 done
  [  4.2%] block 11032199 done
  [  4.3%] block 11032200 done
  [  4.3%] block 11032201 done
  [  4.4%] block 11032202 done
  [  4.5%] block 11032203 done
  [  4.5%] block 11032204 done
  [  4.5%] block 11032205 done
  [  4.6%] block 11032206 done
  [  4.7%] block 11032207 done
  [  4.7%] block 11032208 done
  [  4.8%] block 11032209 done
  [  4.8%] block 11032210 done
  [  4.9%] block 11032211 done
  [  4.9%] block 11032212 done
  [  5.0%] block 11032213 done
Batch 11032214 → 11032313
  [  5.0%] block 11032214 done
  [  5.1%] block 11032215 done
  [  5.1%] block 11032216 done
  [  5.1%] block 11032217 done
  [  5.2%] block 11032218 done
  [  5.2%] block 11032219 done
  [  5.3%] block 11032220 done
  [  5.3%] block 11032221 done
  [  5.4%] block 11032222 done
  [  5.5%] block 11032223 done
  [  5.5%] block 11032224 done
  [  5.5%] block 11032225 done
  [  5.6%] block 11032226 done
  [  5.7%] block 11032227 done
  [  5.7%] block 11032228 done
  [  5.8%] block 11032229 done
  [  5.8%] block 11032230 done
  [  5.9%] block 11032231 done
  [  5.9%] block 11032232 done
  [  5.9%] block 11032233 done
  [  6.0%] block 11032234 done
  [  6.0%] block 11032235 done
  [  6.1%] block 11032236 done
  [  6.2%] block 11032237 done
  [  6.2%] block 11032238 done
  [  6.2%] block 11032239 done
  [  6.3%] block 11032240 done
  [  6.3%] block 11032241 done
  [  6.4%] block 11032242 done
  [  6.5%] block 11032243 done
  [  6.5%] block 11032244 done
  [  6.6%] block 11032245 done
  [  6.6%] block 11032246 done
  [  6.7%] block 11032247 done
  [  6.7%] block 11032248 done
  [  6.8%] block 11032249 done
  [  6.8%] block 11032250 done
  [  6.9%] block 11032251 done
  [  6.9%] block 11032252 done
  [  7.0%] block 11032253 done
  [  7.0%] block 11032254 done
  [  7.0%] block 11032255 done
  [  7.1%] block 11032256 done
  [  7.1%] block 11032257 done
  [  7.2%] block 11032258 done
  [  7.2%] block 11032259 done
  [  7.3%] block 11032260 done
  [  7.3%] block 11032261 done
  [  7.4%] block 11032262 done
  [  7.4%] block 11032263 done
  [  7.5%] block 11032264 done
  [  7.5%] block 11032265 done
  [  7.6%] block 11032266 done
  [  7.6%] block 11032267 done
  [  7.7%] block 11032268 done
  [  7.8%] block 11032269 done
  [  7.8%] block 11032270 done
  [  7.8%] block 11032271 done
  [  7.9%] block 11032272 done
  [  8.0%] block 11032273 done
  [  8.0%] block 11032274 done
  [  8.1%] block 11032275 done
  [  8.1%] block 11032276 done
  [  8.2%] block 11032277 done
  [  8.2%] block 11032278 done
  [  8.2%] block 11032279 done
  [  8.3%] block 11032280 done
  [  8.3%] block 11032281 done
  [  8.4%] block 11032282 done
  [  8.5%] block 11032283 done
  [  8.5%] block 11032284 done
  [  8.6%] block 11032285 done
  [  8.6%] block 11032286 done
  [  8.6%] block 11032287 done
  [  8.7%] block 11032288 done
  [  8.8%] block 11032289 done
  [  8.8%] block 11032290 done
  [  8.8%] block 11032291 done
  [  8.9%] block 11032292 done
  [  8.9%] block 11032293 done
  [  9.0%] block 11032294 done
  [  9.0%] block 11032295 done
  [  9.1%] block 11032296 done
  [  9.2%] block 11032297 done
  [  9.2%] block 11032298 done
  [  9.2%] block 11032299 done
  [  9.3%] block 11032300 done
  [  9.3%] block 11032301 done
  [  9.4%] block 11032302 done
  [  9.4%] block 11032303 done
  [  9.5%] block 11032304 done
  [  9.6%] block 11032305 done
  [  9.6%] block 11032306 done
  [  9.7%] block 11032307 done
  [  9.7%] block 11032308 done
  [  9.8%] block 11032309 done
  [  9.8%] block 11032310 done
  [  9.8%] block 11032311 done
  [  9.9%] block 11032312 done
  [ 10.0%] block 11032313 done
Batch 11032314 → 11032413
  [ 10.0%] block 11032314 done
  [ 10.1%] block 11032315 done
  [ 10.1%] block 11032316 done
  [ 10.2%] block 11032317 done
  [ 10.2%] block 11032318 done
  [ 10.2%] block 11032319 done
  [ 10.3%] block 11032320 done
  [ 10.3%] block 11032321 done
  [ 10.4%] block 11032322 done
  [ 10.4%] block 11032323 done
  [ 10.5%] block 11032324 done
  [ 10.5%] block 11032325 done
  [ 10.6%] block 11032326 done
  [ 10.7%] block 11032327 done
  [ 10.7%] block 11032328 done
  [ 10.8%] block 11032329 done
  [ 10.8%] block 11032330 done
  [ 10.8%] block 11032331 done
  [ 10.9%] block 11032332 done
  [ 10.9%] block 11032333 done
  [ 11.0%] block 11032334 done
  [ 11.1%] block 11032335 done
  [ 11.1%] block 11032336 done
  [ 11.2%] block 11032337 done
  [ 11.2%] block 11032338 done
  [ 11.2%] block 11032339 done
  [ 11.3%] block 11032340 done
  [ 11.3%] block 11032341 done
  [ 11.4%] block 11032342 done
  [ 11.5%] block 11032343 done
  [ 11.5%] block 11032344 done
  [ 11.6%] block 11032345 done
  [ 11.6%] block 11032346 done
  [ 11.7%] block 11032347 done
  [ 11.7%] block 11032348 done
  [ 11.8%] block 11032349 done
  [ 11.8%] block 11032350 done
  [ 11.8%] block 11032351 done
  [ 11.9%] block 11032352 done
  [ 11.9%] block 11032353 done
  [ 12.0%] block 11032354 done
  [ 12.0%] block 11032355 done
  [ 12.1%] block 11032356 done
  [ 12.2%] block 11032357 done
  [ 12.2%] block 11032358 done
  [ 12.2%] block 11032359 done
  [ 12.3%] block 11032360 done
  [ 12.3%] block 11032361 done
  [ 12.4%] block 11032362 done
  [ 12.4%] block 11032363 done
  [ 12.5%] block 11032364 done
  [ 12.6%] block 11032365 done
  [ 12.6%] block 11032366 done
  [ 12.7%] block 11032367 done
  [ 12.7%] block 11032368 done
  [ 12.8%] block 11032369 done
  [ 12.8%] block 11032370 done
  [ 12.8%] block 11032371 done
  [ 12.9%] block 11032372 done
  [ 13.0%] block 11032373 done
  [ 13.0%] block 11032374 done
